age,gender,knowent,opport,suskill,fearfail,bstart,exreason,nbmedia,nbstatus,discent
29,2,2,2,2,1,2,0,2,2,0
53,2,2,1,2,1,1,0,2,2,0
43,2,2,2,2,1,1,0,2,1,0
26,2,2,2,2,1,1,0,2,2,0
50,1,1,2,2,1,1,0,2,1,0
37,1,2,2,2,1,1,0,2,1,0
40,1,1,2,2,1,2,0,2,2,0
27,2,2,2,2,1,1,0,2,2,0
51,2,2,1,2,1,1,0,2,1,0
42,2,2,2,2,1,2,0,2,2,0
33,1,2,2,2,1,1,0,2,2,0
30,1,2,2,2,1,2,0,2,2,0
32,1,2,1,1,2,1,0,1,1,0
28,2,2,2,2,1,1,0,2,1,0
27,2,2,1,1,1,1,0,2,1,0
42,1,2,2,2,1,1,0,1,2,0
37,2,2,2,2,1,2,0,2,2,0
20,1,2,1,1,1,1,0,2,1,0
47,2,2,2,2,1,1,0,2,1,0
24,2,1,2,2,1,1,0,2,2,0
32,2,2,2,2,1,1,0,2,1,0
24,2,1,2,2,1,1,0,2,1,0
29,1,2,2,2,1,1,0,2,1,0
98,1,1,1,2,1,1,0,1,1,0
98,2,2,2,1,1,1,8,1,1,1
24,1,2,2,2,1,1,0,2,1,0
46,2,1,1,2,1,1,0,2,2,0
38,2,2,1,2,1,2,0,1,2,0
24,2,2,1,2,1,2,0,2,2,0
42,1,1,2,1,1,1,0,1,1,0
34,2,1,2,2,2,1,0,2,2,0
21,2,2,2,2,2,1,0,1,2,0
41,1,1,2,2,2,1,0,2,2,0
22,2,1,1,2,1,1,0,1,1,0
62,2,2,2,2,1,1,0,2,2,0
26,1,2,1,2,1,1,0,1,2,0
23,2,1,1,1,2,1,0,1,1,0
44,2,2,2,2,1,2,0,2,2,0
23,2,2,2,2,1,2,0,2,2,0
30,2,1,2,2,1,2,0,2,2,0
37,1,1,2,2,2,1,0,2,2,0
55,2,1,1,1,2,1,0,2,2,0
63,2,2,1,2,1,1,0,2,2,0
47,1,2,1,2,2,1,0,2,2,0
33,1,1,2,1,2,1,0,2,2,0
48,2,2,1,2,1,1,0,2,2,0
38,2,2,2,2,1,1,0,2,1,0
45,2,1,1,1,2,1,0,2,2,0
42,1,2,1,1,2,1,0,2,2,0
65,2,2,2,2,2,2,2,2,2,1
32,1,2,2,2,1,1,0,2,2,0
28,1,2,2,2,1,1,0,2,2,0
35,1,2,2,2,2,2,0,2,2,0
30,1,2,2,2,1,1,2,2,2,1
36,2,2,1,2,1,1,5,2,2,1
43,2,1,2,2,1,1,0,2,2,0
41,2,2,2,2,1,2,0,2,2,0
27,1,2,2,2,1,1,0,2,2,0
32,1,2,2,2,1,1,0,2,2,0
27,2,2,2,2,1,2,0,2,1,0
32,2,2,2,2,1,1,0,1,1,0
45,2,2,2,2,2,1,0,2,2,0
29,2,2,2,2,2,2,0,2,2,0
27,2,2,2,2,2,1,0,2,2,0
22,1,1,2,2,1,1,0,2,2,0
37,1,1,1,2,1,1,0,2,1,0
36,1,2,2,2,2,1,0,2,2,0
30,2,2,2,2,1,2,0,2,1,1
57,2,2,2,2,2,1,0,2,2,0
31,2,2,2,2,2,1,0,2,2,0
41,2,2,2,2,1,2,0,2,2,0
55,2,1,1,2,2,1,0,2,2,0
36,1,2,2,2,1,1,0,2,2,0
51,1,1,1,2,1,1,3,2,2,1
45,1,1,1,2,1,2,0,1,2,0
38,1,2,2,2,1,2,0,2,2,0
36,1,2,2,2,1,2,0,2,2,0
36,1,2,2,2,1,1,0,2,2,0
22,1,2,2,2,1,1,0,1,2,0
29,2,2,1,2,2,2,0,2,1,0
35,2,1,2,2,1,2,3,1,2,1
30,2,1,2,2,1,2,0,2,2,0
37,2,2,1,2,1,1,0,2,2,0
26,2,2,2,2,2,2,2,2,2,1
41,1,2,2,2,1,1,0,2,2,0
35,1,1,1,2,2,1,0,2,2,0
99,1,1,2,1,2,1,0,1,1,0
30,1,2,2,2,2,2,0,2,2,0
43,1,1,2,2,1,1,2,2,2,1
32,1,2,2,2,2,1,0,2,2,0
40,2,2,2,2,2,1,5,2,2,1
41,2,1,2,2,1,2,0,2,1,0
33,2,2,2,2,1,2,0,2,2,0
31,2,2,1,2,1,2,0,2,2,0
38,2,2,2,1,2,2,0,1,2,0
40,2,2,2,2,1,1,0,2,2,0
29,2,2,1,2,1,2,0,2,2,0
33,2,2,2,2,1,2,0,2,2,0
25,2,1,2,2,1,2,3,2,2,1
43,2,1,2,2,1,1,0,1,2,0
37,2,1,1,2,1,1,0,2,2,0
49,2,2,2,2,1,2,0,2,2,0
30,1,1,1,2,2,1,0,2,1,0
35,1,2,1,2,1,1,2,2,2,1
38,1,2,2,2,1,1,0,2,2,0
31,2,2,2,2,1,1,2,2,2,1
27,2,2,2,2,1,1,5,1,2,1
32,2,2,2,2,2,2,0,2,1,0
31,2,2,2,2,2,2,1,2,1,1
38,2,2,2,2,1,1,2,2,2,1
28,2,2,2,2,2,2,2,2,2,1
25,2,2,2,2,2,2,5,2,2,1
41,2,1,2,2,2,1,0,1,2,0
32,2,1,2,2,1,1,2,2,2,1
25,1,2,2,2,1,2,0,2,2,0
36,2,2,2,2,1,1,2,2,2,1
51,2,1,2,2,1,1,0,2,2,0
54,2,1,2,2,1,1,0,2,2,0
31,2,2,2,2,1,1,0,2,2,0
40,2,2,2,2,1,2,0,2,2,0
42,1,1,2,2,1,1,0,2,2,0
42,1,1,2,2,1,1,0,1,2,0
33,2,2,2,2,1,1,0,2,2,0
